Zmienna,Wspolczynnik_Logit,Iloraz_Szans_OR,CI_Dolne_95_OR,CI_Gorne_95_OR,P_value,P_value_opis
wspd,0.0020659078983979043,1.0020680433564202,1.0012680352954648,1.0028686906197422,3.980964413421444e-7,<0.001
pres,-0.008123894164497134,0.9919090154852309,0.9918906829858019,0.9919273483234881,0,<0.001
tavg,-0.0020430456870950704,0.9979590399101794,0.9972389681290618,0.998679631630235,2.8942283390898746e-8,<0.001
prcp,0.014110250331568939,1.0142102697933124,1.0137568560905879,1.0146638862902126,0,<0.001
Dep_AirportCLT,0.039954962477780805,1.0407638997095827,1.0271384635283003,1.0545700831977984,2.8068555412855093e-9,<0.001
Dep_AirportDEN,0.02775030096011135,1.0281389270637662,1.0150987547529002,1.0413466161734668,2.0340791167404887e-5,<0.001
Dep_AirportDFW,0.1631591711498367,1.1772240548829358,1.1628628858603567,1.1917625820258944,1.2122040860571527e-149,<0.001
Dep_AirportJFK,0.0737947805454647,1.0765858464642775,1.0581171502188669,1.0953769009107008,6.337831096024947e-17,<0.001
Dep_AirportLAS,0.11492214314182844,1.1217860954309593,1.1068687268405737,1.1369045067288182,1.581031015729063e-63,<0.001
Dep_AirportLAX,-0.031326005873957924,0.969159569856796,0.9559132600813794,0.9825894367916261,8.140509330015013e-6,<0.001
Dep_AirportMCO,0.17914636507584647,1.1961958126464607,1.1792370453502097,1.2133984662667907,1.578968311244699e-133,<0.001
Dep_AirportMIA,0.11582392049393873,1.1227981529824367,1.1030875791891566,1.1428609261174463,1.301933213887742e-37,<0.001
Dep_AirportORD,0.03340991634938627,1.0339742953516027,1.0206999030554305,1.0474213235913123,4.023345332907513e-7,<0.001
Month2,-0.13594275154044008,0.872892602815216,0.8583268076826176,0.8877055793080444,1.8140727808615765e-56,<0.001
Month3,0.00865087216373597,1.0086883990938342,0.9943822227520346,1.0232003983846365,0.23522702332146012,0.235
Month4,0.02853160378526194,1.028942528799403,1.0153101964224347,1.042757899312589,2.7546086370975317e-5,<0.001
Month5,-0.09367947879414237,0.9105745739328113,0.8988737060845493,0.9224277549564122,9.579730578532638e-46,<0.001
Month6,0.2396322888700237,1.2707817837930617,1.2557595006317075,1.2859837741286533,0,<0.001
Month7,0.36622464754471706,1.4422792107473261,1.4245434557299148,1.4602357782676993,0,<0.001
Month8,0.1539452415185268,1.1664270132576515,1.1514526027950653,1.181596162928919,1.3096085857271957e-120,<0.001
Month9,-0.06360918209268142,0.9383716603258359,0.9257428707625955,0.9511727291805182,3.535810633510187e-20,<0.001
Month10,-0.27866929774971677,0.7567901340371371,0.7462950467599104,0.7674328128834554,0,<0.001
Month11,-0.41367878543839387,0.6612133085009868,0.6504747458542048,0.6721291520160174,0,<0.001
Month12,-0.30153101142482264,0.7396848873166798,0.7277946258345164,0.7517694045862532,3.3834749680001756e-291,<0.001
DepTime_labelEvening,0.2352667952744391,1.265246285436915,1.2536816491880143,1.2769176001329767,0,<0.001
DepTime_labelMorning,-0.38430270870774463,0.6809252739691815,0.6741257986960212,0.6877933311955614,0,<0.001
DepTime_labelNight,-0.6726960309951775,0.5103308536283568,0.5095323754464941,0.5111305830897017,0,<0.001
AirlineAllegiant Air,0.23081555362147035,1.25962688440424,1.2584021449270513,1.2608528158587253,0,<0.001
AirlineAmerican Airlines Inc.,0.18737361313130113,1.2060778073903649,1.1933087677772702,1.2189834825306958,6.930255016338157e-261,<0.001
AirlineAmerican Eagle Airlines Inc.,-0.1398381761016037,0.8694989297211058,0.8512264357762832,0.8881636624650666,4.2324543125491705e-38,<0.001
AirlineDelta Air Lines Inc,-0.05083276130399634,0.9504376071879359,0.9403979871512431,0.9605844094728452,6.464336465877681e-21,<0.001
AirlineEndeavor Air,0.17167430639462694,1.1872910771237963,1.1812710365981147,1.1933417972198797,0,<0.001
AirlineFrontier Airlines Inc.,0.5790709606379756,1.7843799012846882,1.7537869497081848,1.8155065144249964,0,<0.001
AirlineHawaiian Airlines Inc.,-0.22824900109703147,0.7959260486998005,0.7956411416532689,0.796211057767232,0,<0.001
AirlineJetBlue Airways,0.63998453337493455,1.896451547373081,1.8611524463348137,1.932420140336399,0,<0.001
AirlinePSA Airlines,0.012380323669521867,1.0124572771182325,1.0066063787823332,1.0183421837934974,2.8288965405812134e-5,<0.001
AirlineRepublic Airways,0.21023685733877095,1.2339703002671896,1.230986198685956,1.236961635773756,0,<0.001
AirlineSkywest Airlines Inc.,0.20652328401511308,1.2293963591672161,1.2101376665375256,1.2489615435722317,5.913282615077814e-145,<0.001
AirlineSouthwest Airlines Co.,-0.1729550014002387,0.8411754657111093,0.8325639618956551,0.8498760413593088,5.314611491863911e-238,<0.001
AirlineSpirit Air Lines,0.358040223217935,1.430523159567495,1.4094129535168451,1.4519495545664505,0,<0.001
AirlineUnited Air Lines Inc.,0.03702673444924024,1.0377207633603884,1.024833343093359,1.050770244710089,6.348359536741534e-9,<0.001
1_Male (0-15m)|2_Srednie (16-45m),-8.268888247152576,2.56370153127527e-4,2.56280403344159e-4,2.564599343414044e-4,0,<0.001
2_Srednie (16-45m)|3_Duze (>45m),-6.964659655959672,9.446843986251486e-4,9.40390687227976e-4,9.489977145949874e-4,0,<0.001
